geoname_id,name,ascii_name,feature_class,feature_code,population,admin1_code,admin2_code,latitude,longitude
3091293,Murowana Goślina,Murowana Goslina,P,PPLA3,9989,86,3021,52.57463,17.00933
3092517,Maków Podhalański,Makow Podhalanski,P,PPLA3,5746,77,1215,49.73008,19.67711
3092895,Łubnice,Lubnice,P,PPLA3,1100,74,1018,51.16406,18.29069
3092931,Lubin,Lubin,P,PPLA2,77532,72,0211,51.40089,16.20149
3093446,Licheń Stary,Lichen Stary,P,PPLX,1100,86,3010,52.31226,18.35515
3093577,Leśnica,Lesnica,P,PPLA3,2897,79,1611,50.43083,18.18684
3093664,Łękawica,Lekawica,P,PPL,2169,83,2417,49.72209,19.26496
3094258,Kunice Żarskie,Kunice Zarskie,P,PPLX,3000,76,0811,51.59944,15.16495
3094423,Krzywiń,Krzywin,P,PPL,1630,86,3011,51.96296,16.81985
3095277,Konstantynów Łódzki,Konstantynow Lodzki,P,PPL,17415,74,1008,51.74776,19.32564
3095827,Kołczygłowy,Kolczyglowy,P,PPL,1233,82,2201,54.23895,17.23154
3095958,Kobiór,Kobior,P,PPLA3,4702,83,2410,50.06089,18.93468
3096162,Klecza Dolna,Klecza Dolna,P,PPL,2188,77,1218,49.88291,19.53764
3096165,Kłecko,Klecko,P,PPLA3,2648,86,3003,52.63181,17.43075
3096444,Kąty Wrocławskie,Katy Wroclawskie,P,PPLA3,5418,72,0223,51.03098,16.76767
3096494,Kaszów,Kaszow,P,PPL,1956,77,1206,50.03884,19.71934
3096796,Kamieniec Wrocławski,Kamieniec Wroclawski,P,PPL,1970,72,0223,51.07182,17.18193
3097177,Jeziora Wielkie,Jeziora Wielkie,P,PPLA3,560,73,0409,52.53043,18.26803
3097333,Jaworzno,Jaworzno,P,PPLA2,96541,83,2468,50.20528,19.27498
3099209,Głogówek,Glogowek,P,PPLA3,5755,79,1610,50.35355,17.86405
3099783,Dziwnów,Dziwnow,P,PPLA3,2904,87,3207,54.02819,14.76691
3102181,Budziszewice,Budziszewice,P,PPLA3,880,74,1016,51.66739,19.93581
3102447,Brześć Kujawski,Brzesc Kujawski,P,PPLA3,4522,73,0418,52.60532,18.90173
3102673,Brąszewice,Braszewice,P,PPLA3,1100,74,1014,51.49902,18.44982
3103001,Bojszowy Nowe,Bojszowy Nowe,P,PPL,1192,83,2414,50.05284,19.05012
3103173,Bobowo,Bobowo,P,PPL,1271,82,2213,53.88378,18.55681
3103411,Bielsk,Bielsk,P,PPLA3,2600,78,1419,52.6718,19.805
3103736,Bedlno,Bedlno,P,PPLA3,640,74,1002,52.20829,19.57592
3104115,Andrychów,Andrychow,P,PPLA3,21954,77,1218,49.85497,19.33834
7303641,Jelcz Laskowice,Jelcz Laskowice,P,PPL,15340,72,0215,51.02134,17.31649
7535495,Chotcza,Chotcza,P,PPLA3,270,78,1409,51.24043,21.77662
7576141,Rokiciny-Kolonia,Rokiciny-Kolonia,P,PPL,1300,74,1016,51.66468,19.78312
756629,Tuczępy,Tuczepy,P,PPLA3,575,84,2601,50.51676,20.99187
756938,Terespol,Terespol,P,PPLA3,6000,75,0601,52.0755,23.61614
